,Date,Oil,Min,Max,Diff,Refil
111,2021-04-21,3.071458333333333,2.97,3.18,0.07722222222222275,False
112,2021-04-22,2.998819444444445,2.97,3.07,0.07263888888888825,False
113,2021-04-23,2.9630555555555556,2.87,3.07,0.03576388888888937,False
114,2021-04-24,2.88875,2.77,2.97,0.07430555555555562,False
115,2021-04-25,2.8009027777777775,2.77,2.87,0.08784722222222241,False
116,2021-04-26,2.7298958333333334,2.66,2.77,0.07100694444444411,False
117,2021-04-27,2.6273611111111115,2.56,2.66,0.10253472222222193,False
118,2021-04-28,2.538125,2.46,2.56,0.08923611111111152,False
119,2021-04-29,2.4641666666666664,2.46,2.56,0.07395833333333357,False
120,2021-04-30,2.431875,2.37,2.46,0.03229166666666661,False
121,2021-05-01,2.3724305555555554,2.27,2.46,0.05944444444444441,False
122,2021-05-02,2.3297222222222222,2.27,2.37,0.042708333333333126,False
123,2021-05-03,2.287361111111111,2.27,2.37,0.04236111111111107,False
124,2021-05-04,2.20125,2.17,2.27,0.08611111111111125,False
125,2021-05-05,2.1378125,2.08,2.17,0.06343750000000004,False
126,2021-05-06,2.095,1.99,2.17,0.0428124999999997,False
127,2021-05-07,2.01625,1.99,2.08,0.07875000000000032,False
128,2021-05-08,1.973611111111111,1.89,2.08,0.04263888888888889,False
129,2021-05-09,1.8895833333333332,1.8,1.99,0.08402777777777781,False
130,2021-05-10,1.8321874999999999,1.8,1.89,0.05739583333333331,False
131,2021-05-11,1.8093750000000002,1.8,1.89,0.02281249999999968,False
132,2021-05-12,1.7940625000000001,1.71,1.89,0.015312500000000062,False
133,2021-05-13,1.725,1.71,1.8,0.06906250000000003,False
134,2021-05-14,1.7121875,1.71,1.8,0.012812500000000115,False
135,2021-05-15,1.6692013888888888,1.63,1.8,0.04298611111111117,False
136,2021-05-16,1.6305555555555555,1.63,1.71,0.03864583333333327,False
137,2021-05-17,1.6276388888888889,1.54,1.71,0.0029166666666666785,False
138,2021-05-18,1.5990624999999998,1.54,1.63,0.028576388888889026,False
139,2021-05-19,1.5755902777777777,1.54,1.71,0.023472222222222117,False
140,2021-05-20,1.5346875,1.45,1.63,0.04090277777777773,False
141,2021-05-21,1.4623263888888889,1.37,1.54,0.0723611111111111,False
142,2021-05-22,1.408611111111111,1.37,1.45,0.05371527777777785,False
143,2021-05-23,1.3727777777777779,1.29,1.45,0.03583333333333316,False
144,2021-05-24,1.3152777777777778,1.29,1.37,0.05750000000000011,False
145,2021-05-25,1.258888888888889,1.21,1.29,0.05638888888888882,False
146,2021-05-26,1.1869444444444444,1.13,1.29,0.07194444444444459,False
147,2021-05-27,1.129722222222222,1.05,1.21,0.057222222222222285,False
148,2021-05-28,2.3837152777777777,1.05,6.04,0.07899999999999974,True
149,2021-05-29,2.979027777777778,2.97,3.07,0.03597222222222207,False
150,2021-05-30,2.9404861111111114,2.87,2.97,0.038541666666666696,False
151,2021-05-31,2.8765972222222222,2.87,2.97,0.0638888888888891,False
152,2021-06-01,2.857152777777778,2.77,2.87,0.019444444444444375,False
